,species,possible_values
60,Chimpanzee,0.15984506668459283
61,Chimpanzee,0.14205495192341158
62,Chimpanzee,0.12495777251592492
63,Chimpanzee,0.10922788202060274
64,Chimpanzee,0.0953152915860791
65,Chimpanzee,0.3037055858131311
66,Chimpanzee,0.2853334401699814
67,Chimpanzee,0.26723215739672385
68,Chimpanzee,0.24922531179126006
69,Chimpanzee,0.23131527855918382
70,Chimpanzee,0.21359710807682014
71,Chimpanzee,0.19588725066600904
72,Chimpanzee,0.17797634874815402
73,Chimpanzee,0.15984506668459283
74,Chimpanzee,0.14205495192341158
75,Chimpanzee,0.12495777251592492
76,Chimpanzee,0.10922788202060274
77,Chimpanzee,0.0953152915860791
78,Chimpanzee,0.3037056168477771
79,Chimpanzee,0.2853334788706489
80,Chimpanzee,0.26723220430705
81,Chimpanzee,0.24922536757672692
82,Chimpanzee,0.2313153441213843
83,Chimpanzee,0.21359718454558932
84,Chimpanzee,0.1958873393207755
85,Chimpanzee,0.17797645100512965
86,Chimpanzee,0.1598451840242219
87,Chimpanzee,0.14205508592737787
88,Chimpanzee,0.12495792482413118
89,Chimpanzee,0.1092280543332584
90,Chimpanzee,0.09531548564345654
91,Chimpanzee,0.3037056168477771
92,Chimpanzee,0.2853334788706489
93,Chimpanzee,0.26723220430705
94,Chimpanzee,0.24922536757672692
95,Chimpanzee,0.2313153441213843
96,Chimpanzee,0.21359718454558932
97,Chimpanzee,0.1958873393207755
98,Chimpanzee,0.17797645100512965
99,Chimpanzee,0.1598451840242219
100,Chimpanzee,0.14205508592737787
101,Chimpanzee,0.12495792482413118
102,Chimpanzee,0.1092280543332584
103,Chimpanzee,0.09531548564345654
104,Chimpanzee,0.3037057098044847
105,Chimpanzee,0.2853335947892066
106,Chimpanzee,0.26723234481552416
107,Chimpanzee,0.24922553466855196
108,Chimpanzee,0.23131554049700392
109,Chimpanzee,0.21359741358923448
110,Chimpanzee,0.19588760486464019
111,Chimpanzee,0.17797675729100823
112,Chimpanzee,0.15984553548658778
113,Chimpanzee,0.1420554873036657
114,Chimpanzee,0.12495838102631777
115,Chimpanzee,0.1092285704538961
116,Chimpanzee,0.0953160668951383
117,Chimpanzee,0.3037057098044847
118,Chimpanzee,0.2853335947892066
119,Chimpanzee,0.26723234481552416
120,Chimpanzee,0.24922553466855196
121,Chimpanzee,0.23131554049700392
122,Chimpanzee,0.21359741358923448
123,Chimpanzee,0.19588760486464019
124,Chimpanzee,0.17797675729100823
125,Chimpanzee,0.15984553548658778
126,Chimpanzee,0.1420554873036657
127,Chimpanzee,0.12495838102631777
128,Chimpanzee,0.1092285704538961
129,Chimpanzee,0.0953160668951383
130,Chimpanzee,0.3037059873566318
131,Chimpanzee,0.28533394090107955
132,Chimpanzee,0.26723276434855814
133,Chimpanzee,0.24922603357448683
134,Chimpanzee,0.23131612683907904
135,Chimpanzee,0.21359809747209318
136,Chimpanzee,0.1958883977304725
137,Chimpanzee,0.17797767180507845
138,Chimpanzee,0.1598465848893545
139,Chimpanzee,0.14205668574031238
140,Chimpanzee,0.12495974316303825
141,Chimpanzee,0.10923011149615446
142,Chimpanzee,0.09531780240674625
143,Chimpanzee,0.3037059873566318
144,Chimpanzee,0.28533394090107955
145,Chimpanzee,0.26723276434855814
146,Chimpanzee,0.24922603357448683
147,Chimpanzee,0.23131612683907904
148,Chimpanzee,0.21359809747209318
149,Chimpanzee,0.1958883977304725
150,Chimpanzee,0.17797767180507845
151,Chimpanzee,0.1598465848893545
152,Chimpanzee,0.14205668574031238
153,Chimpanzee,0.12495974316303825
154,Chimpanzee,0.10923011149615446
155,Chimpanzee,0.09531780240674625
156,Chimpanzee,0.3037064455945305
157,Chimpanzee,0.285334512330696
158,Chimpanzee,0.2672334569960596
159,Chimpanzee,0.24922685726624308
160,Chimpanzee,0.23131709488741567
161,Chimpanzee,0.21359922655959374
162,Chimpanzee,0.19588970674821152
163,Chimpanzee,0.17797918166329835
164,Chimpanzee,0.1598483174479262
165,Chimpanzee,0.14205866435285616
166,Chimpanzee,0.12496199204334392
167,Chimpanzee,0.1092326557482674
168,Chimpanzee,0.09532066772640162
169,Chimpanzee,0.3037064455945305
170,Chimpanzee,0.285334512330696
171,Chimpanzee,0.2672334569960596
172,Chimpanzee,0.24922685726624308
173,Chimpanzee,0.23131709488741567
174,Chimpanzee,0.21359922655959374
175,Chimpanzee,0.19588970674821152
176,Chimpanzee,0.17797918166329835
177,Chimpanzee,0.1598483174479262
178,Chimpanzee,0.14205866435285616
179,Chimpanzee,0.12496199204334392
180,Chimpanzee,0.1092326557482674
181,Chimpanzee,0.09532066772640162
182,Chimpanzee,0.33817837911245485
183,Chimpanzee,0.31907593762563813
184,Chimpanzee,0.3004205624438347
185,Chimpanzee,0.28176257650522524
186,Chimpanzee,0.262937445214029
187,Chimpanzee,0.24396053998164566
188,Chimpanzee,0.2243188322068304
189,Chimpanzee,0.203434240520977
190,Chimpanzee,0.1811941452325337
191,Chimpanzee,0.15861905011896402
192,Chimpanzee,0.13635087847901536
193,Chimpanzee,0.11564602682766645
194,Chimpanzee,0.09734299834258602
195,Chimpanzee,0.33817837911245485
196,Chimpanzee,0.31907593762563813
